"특성별(1)",특성별(2),특성별(3),특성별(4),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"특성별(1)",특성별(2),특성별(3),특성별(4),배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달앱,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행,배달대행
"특성별(1)",특성별(2),특성별(3),특성별(4),이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용,이용여부 (%),이용여부 (%),월평균 비용,월평균 비용,월평균 비용,월평균 비용,월평균 비용
"특성별(1)",특성별(2),특성별(3),특성별(4),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),무응답 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),모름 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),모름 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원),예,아니오,5만원 미만 (%),5만원~15만원 미만 (%),15만원~50만원 미만 (%),50만원 이상 (%),평균 (원)
"전체",소계,소계,소계,7.6,92.4,6.9,33.8,48.3,10.7,0.3,246909.9,5.4,94.6,5.7,23.7,39.8,30.9,470113.0,11.2,88.8,4.7,23.0,55.6,16.8,318230.4,10.0,90.0,7.1,17.5,37.1,38.3,611564.5,19.9,80.1,5.6,24.9,47.1,18.3,4.2,360436.1,15.4,84.6,7.2,13.7,38.0,36.6,4.4,1140045.3,29.5,70.5,5.2,41.8,36.9,16.0,272349.6,18.5,81.5,6.4,12.0,37.3,44.3,902713.5
"업종별",일반음식점,소계,소계,6.2,93.8,5.2,36.8,44.3,13.7,0.0,235386.0,4.0,96.0,9.6,27.7,37.3,25.4,338786.2,9.4,90.6,4.1,27.1,48.1,20.7,338719.6,8.9,91.1,5.4,19.6,45.1,29.9,525302.2,17.0,83.0,5.9,22.4,51.2,16.4,4.1,353124.7,13.5,86.5,5.4,13.7,43.7,33.5,3.7,1388986.5,26.5,73.5,5.2,39.8,38.9,16.1,265250.8,17.5,82.5,6.3,9.4,41.2,43.1,828064.4
"업종별",일반음식점,한식,소계,5.3,94.7,4.5,32.1,46.6,16.7,0.0,245033.5,3.6,96.4,11.9,29.8,36.9,21.4,282859.9,6.9,93.1,2.9,17.6,52.3,27.3,392673.1,8.0,92.0,5.4,21.5,48.1,25.0,500659.1,13.7,86.3,4.3,21.6,54.4,16.2,3.5,356608.9,11.3,88.7,4.6,12.8,46.1,33.3,3.2,1425614.9,22.5,77.5,5.5,38.7,39.8,16.1,261987.9,15.9,84.1,7.6,10.1,42.4,39.9,758915.1
"업종별",일반음식점,중식,소계,18.7,81.3,8.0,49.6,40.5,1.9,0.0,168968.7,8.3,91.7,0.0,8.2,47.6,44.2,552955.8,37.2,62.8,6.8,42.3,44.1,6.8,235943.5,18.9,81.1,3.5,6.7,36.4,53.4,721372.8,36.0,64.0,12.6,11.7,49.6,18.9,7.2,373188.9,23.2,76.8,0.0,18.7,36.8,34.2,10.3,2161279.1,41.0,59.0,2.1,38.5,29.9,29.6,395466.6,22.6,77.4,2.5,2.5,26.8,68.2,1390764.9
"업종별",일반음식점,일식,소계,3.1,96.9,16.3,29.1,30.1,24.5,0.0,256042.3,2.9,97.1,0.0,22.3,21.8,55.9,587064.9,15.7,84.3,8.4,37.0,25.1,29.5,382619.0,13.0,87.0,5.3,20.1,38.1,36.5,441226.0,43.0,57.0,6.9,37.3,36.4,16.3,3.0,328540.0,33.0,67.0,17.0,17.3,32.9,32.8,0.0,545522.5,55.4,44.6,8.0,40.5,40.1,11.4,218219.8,23.5,76.5,3.1,9.5,47.5,39.9,1004186.2
"업종별",일반음식점,서양식,소계,6.7,93.3,0.0,67.6,24.0,8.4,0.0,397296.3,5.8,94.2,0.0,56.6,24.9,18.4,466537.9,12.2,87.8,0.0,63.2,36.2,0.6,150165.0,8.6,91.4,14.6,35.7,23.8,26.0,325424.8,34.5,65.5,3.2,30.2,48.9,13.9,3.8,347108.4,26.3,73.7,8.1,8.3,42.8,40.3,0.4,1075143.6,52.3,47.7,0.0,46.0,47.5,6.5,210714.8,28.1,71.9,2.4,4.0,37.0,56.5,992869.1
