가게명,판매업종,배달소요시간,평점,리뷰수,배달기준금액,배달비
맛닭꼬-미아점,2,45,4.5,382,10900,4000
옐로우피자,3,50,4.9,1251,18000,2000
라와마라탕-본점,4,70,4.8,4879,14900,3000
100년서서갈비,5,40,4.8,3026,13000,4200
육회&연어-미아본점,7,50,4.8,4053,9900,3000
족발야시장-수유역점,8,40,4.8,8595,30000,2000
번쩍피자-미아점,6,35,4.9,2116,14900,1000
동대문엽기떡볶이-성신여대점,1,60,4.7,737,14000,4000
요이타코,0,39,5,166,5000,3000
롯데리아-마들역점,2,49,4.8,3879,10000,3500
세븐한식&분식천국,3,55,4.7,847,13000,3000
라와마라탕-2호점,4,57,5,644,15000,3000
와우곱창막창,5,63,4.4,807,18000,2000
육회한연어-노원점,7,54,4.7,2072,14000,2000
뜸들이다-창동점,7,17,4.9,1672,8700,2400
원할머니보쌈-수락산점,8,52,4.7,1761,30000,2000
숯돌이곱창-노원점,6,53,4.7,1483,18000,2000
응급실국물떡볶이-서울창동역점,6,53,4.8,1504,15000,3500
제육천재-도봉점,1,21,4.9,1485,9900,2400
리프베이글&샌드위치,0,55,5,246,9800,1500
굽네치킨&피자-하월곡점,3,57,4.2,4312,15000,3000
